建てる,"to build, to construct",たてる,W-4,v
都内,metropolitan area,とない,W-4,n
伝統的,traditional(ly),でんとうてき,W-4,adj
お土産,"souvenir, present",おみやげ,W-4,n
まんじゅう,"steamed bun with fillings (meat, bean-paste, etc.)",-,W-4,n
人形焼き,bean-paste filled cakes in the shape of a doll,にんぎょうやき,W-4,n
新橋,Shimbashi,しんばし,W-4,n
ゆりかもめ,Yurikamome (similar to a monorail),-,W-4,n
夜景,night view,やけい,W-4,n
ショッピングセンター,shopping center,-,W-4,n
ゲームセンター,arcade,-,W-4,n
黒部ダム,Kurobe Dam,くろべダム,W-4,n
富山県,Toyama-ken,とやまけん,W-4,n
造る,"to make, to produce",つくる,W-4,v
観光客,tourist,かんこうきゃく,W-4,n
ロープウェイ,"ropeway, aerial tram, cable car",-,W-4,n
楽,"easily, with ease",らく,W-4,adj
壁,wall,かべ,W-4,n
通る,"to pass, to go through",とおる,W-4,v
発表,presentation,はっぴょう,W-4,n
ファミレス,"family restaurant (short for "" ファミリーレストラン "")",-,W-5,n
デジカメ,"digital camera (short for ""デジタルカメラ"")",-,W-5,n
割り勘,splitting the cost,わりかん,W-5,exp
メアド,"e-mail address (short for ""メールアドレス"")",-,W-5,n
激安,bargain priced,げきやす,W-5,n
転職,change of occupation,てんしょく,W-5,n
デパ地下,"basement of a deparment store (usually where groceries are sold) (short for "" デパートの地下 "")",デパちか,W-5,n
カーナビ,car navigation system,-,W-5,n
両替,money exchange,りょうがえ,W-5,n
方法,"method, process",ほうほう,W-5,n
ゴミ,trash,-,W-5,n
申込書,application form,もうしこみしょ,W-5,n
家具,furniture,かぐ,W-5,n
ボタン,button,-,W-5,n
送る,"to send, to dispatch",おくる,W-5,v
（お金を）下ろす,to withdraw money from one's account,（おかねを）おろす,W-5,v
捨てる,"to throw away, to cast aside",すてる,W-5,v
（辞書を）ひく,to use a dictionary,（じしょを）ひく,W-5,v
予約する,"to reserve, make an appointment",よやくする,W-5,v
記入する,"to fill in forms, to enter",きにゅうする,W-5,v
組み立てる,"to assemble, to set up, to contruct",くみたてる,W-5,v
払う,to pay,はらう,W-5,v
押す,to push,おす,W-5,v
北海道,Hokkaido,ほっかいどう,W-5,n
お土産,"souvenir, present",おみやげ,W-5,n
焼く,"to bake, to grill",やく,W-5,v
迷う,"to lose one's way, to waver",まよう,W-5,v
助かる,to be helpful,たすかる,W-5,v
いる,to need,-,W-5,v
ボタン,button,-,W-5,n
押す,to push,おす,W-5,v
ゲーセン,"arcade (short for "" ゲームセンター "")",-,W-5,n
ゲームセンター,arcade,-,W-5,n
激安,bargain price,げきやす,W-5,n
上司,"superior, boss",じょうし,W-5,n
アポを取る,to take an appointment,アポをとる,W-5,v
アポイントメント,appointment,-,W-5,n
いい,good,いい,3,adj
早い,early,早[はや]い,3,adj
新しい,new,新[あたら]しい,5,adj
暑い,hot (weather),暑[あつ]い,5,adj
熱い,hot (objects),熱[あつ]い,5,adj
忙しい,busy (people/days),忙[いそが]しい,5,adj
大きい,large,大[おお]きい,5,adj
面白い,interesting,面白[おもしろ]い,5,adj
怖い,frightening,怖[こわ]い,5,adj
寒い,cold (weather-not used for objects),寒[さむ]い,5,adj
楽しい,fun,楽[たの]しい,5,adj
小さい,small,小[ちい]さい,5,adj
つまらない,boring,つまらない,5,adj
古い,old (thing - not used for people),古[ふる]い,5,adj
難しい,difficult,難[むずか]しい,5,adj
やさしい,easy (problem); kind (person),やさしい,5,adj
安い,inexpensive; cheap (thing),安[やす]い,5,adj
嫌い（な）,disgusted with; to dislike,嫌[きら]い（な）,5,adj
きれい（な）,beautiful; clean,きれい（な）,5,adj
元気（な）,healthy; energetic,元気[げんき]（な）,5,adj
静か（な）,quiet,静[しず]か（な）,5,adj
好き（な）,fond of; to like,好[す]き（な）,5,adj
大嫌い（な）,to hate,大嫌[だいきら]い（な）,5,adj
大好き（な）,very fond of; to love,大好[だいす]き（な）,5,adj
